338,"Angle Crossing",17.48,326.51,6.42,320.08
339,"Angle Crossing",16.44,327.55,6.42,321.12
340,"Angle Crossing",17.48,326.51,6.42,320.08
341,"Angle Crossing",16.89,327.10,6.42,320.67
342,"Angle Crossing",16.74,327.25,6.42,320.82
343,"Angle Crossing",,,6.38,
345,"Angle Crossing",18.81,326.18,6.38,319.80
346,"Angle Crossing",18.66,326.33,6.38,319.94
347,"Angle Crossing",23.99,327.00,4.38,322.61
348,"Angle Crossing",25.91,325.08,4.38,320.69
349,"Angle Crossing",18.66,332.33,4.38,327.94
350,"Angle Crossing",23.84,327.15,4.38,322.76
351,"Angle Crossing",18.07,332.92,4.38,328.53
352,"Angle Crossing",16.00,335.99,3.60,332.38
353,"Angle Crossing",16.59,335.40,3.60,331.79
354,"Angle Crossing",14.97,337.02,3.60,333.42
355,"Angle Crossing",16.00,335.99,3.60,332.38
356,"Angle Crossing",16.00,335.99,3.60,332.38
357,"Angle Crossing",21.33,302.66,6.91,295.75
358,"Angle Crossing",20.73,303.26,6.91,296.34
359,"Angle Crossing",23.10,301.89,6.95,294.93
360,"Angle Crossing",16.00,308.99,6.95,302.03
361,"Angle Crossing",10.97,314.02,6.95,307.06
362,"Angle Crossing",24.58,300.41,6.95,293.45
363,"Angle Crossing",18.37,306.62,6.95,299.66
364,"Angle Crossing",13.34,311.65,6.95,304.69
365,"Angle Crossing",16.00,308.99,6.95,302.03
366,"Angle Crossing",16.00,308.99,6.95,302.03
367,"Angle Crossing",16.59,308.40,6.95,301.44
368,"Angle Crossing",16.89,314.10,6.65,307.45
369,"Angle Crossing",17.48,313.51,6.65,306.86
370,"Angle Crossing",16.30,314.69,6.65,308.04
371,"Angle Crossing",16.89,314.10,6.65,307.45
372,"Angle Crossing",17.18,313.81,6.65,307.15
373,"Angle Crossing",15.11,316.88,6.63,310.25
374,"Angle Crossing",17.18,314.81,6.63,308.18
375,"Angle Crossing",16.30,315.69,6.63,309.06
376,"Angle Crossing",18.66,313.33,6.63,306.70
377,"Angle Crossing",18.37,313.62,6.63,306.99
378,"Angle Crossing",,,6.63,
379,"Angle Crossing",,,5.61,
380,"Angle Crossing",,,5.61,
381,"Angle Crossing",,,5.61,
382,"Angle Crossing",,,5.61,
383,"Angle Crossing",,,5.61,
384,"Angle Crossing",,,6.91,
385,"Angle Crossing",,,6.91,
386,"Angle Crossing",,,6.91,
387,"Angle Crossing",,,6.91,
388,"Angle Crossing",,,6.91,
389,"Angle Crossing",,,6.91,
390,"Angle Crossing",,,6.91,
391,"Angle Crossing",,,6.91,
392,"Angle Crossing",,,6.91,
393,"Angle Crossing",,,6.38,
394,"Angle Crossing",,,6.38,
395,"Angle Crossing",,,6.38,
396,"Angle Crossing",,,6.38,
397,"Angle Crossing",,,6.38,
398,"Angle Crossing",,,6.24,
399,"Angle Crossing",,,6.24,
400,"Angle Crossing",,,6.24,
401,"Angle Crossing",,,6.24,
402,"Angle Crossing",,,6.24,
403,"Angle Crossing",,,3.60,
404,"Angle Crossing",,,3.60,
405,"Angle Crossing",,,3.60,
406,"Angle Crossing",,,3.60,
407,"Angle Crossing",,,3.60,
408,"Angle Crossing",,,3.20,
409,"Angle Crossing",,,3.20,
416,"Angle Crossing",,,3.20,
417,"Angle Crossing",,,3.20,
418,"Angle Crossing",,,3.20,
419,"Angle Crossing",,,3.20,
420,"Angle Crossing",,,3.20,
421,"Angle Crossing",,,3.20,
